iter	Passed	Remaining
0	720	719482
1	725	362125
2	729	242434
3	733	182539
4	737	146779
5	741	122918
6	745	105752
7	750	93017
8	755	83218
9	759	75201
10	763	68649
11	765	63060
12	768	58365
13	771	54331
14	774	50837
15	776	47744
16	778	45022
17	780	42591
18	782	40422
19	785	38473
20	786	36671
21	788	35031
22	789	33534
23	790	32159
24	792	30895
25	793	29731
26	795	28652
27	796	27651
28	798	26725
29	799	25861
30	801	25047
31	802	24283
32	804	23569
33	805	22895
34	807	22262
35	808	21662
36	810	21107
37	812	20574
38	814	20076
39	816	19592
40	817	19131
41	819	18701
42	821	18291
43	823	17898
44	825	17522
45	827	17171
46	830	16839
47	832	16514
48	834	16202
49	837	15903
50	839	15615
51	841	15338
52	844	15086
53	845	14819
54	847	14560
55	848	14311
56	850	14071
57	852	13838
58	853	13613
59	855	13396
60	856	13187
61	858	12995
62	860	12798
63	862	12620
64	864	12433
65	865	12249
66	866	12071
67	867	11891
68	869	11726
69	870	11564
70	871	11407
71	873	11261
72	875	11111
73	876	10965
74	877	10822
75	878	10683
76	879	10548
77	881	10416
78	882	10288
79	884	10166
80	885	10044
81	886	9927
82	888	9815
83	889	9703
84	890	9588
85	892	9483
86	893	9374
87	894	9273
88	896	9175
89	898	9081
90	899	8989
91	902	8902
92	903	8812
93	905	8724
94	906	8637
95	908	8551
96	910	8478
97	912	8398
98	913	8316
99	915	8235
100	918	8173
101	919	8090
102	920	8018
103	922	7947
104	923	7874
105	925	7801
106	926	7730
107	927	7660
108	928	7592
109	929	7524
110	932	7469
111	933	7404
112	935	7340
113	936	7277
114	937	7215
115	938	7152
116	939	7093
117	941	7034
118	942	6974
119	943	6918
120	944	6862
121	946	6814
122	947	6756
123	948	6702
124	950	6650
125	951	6598
126	952	6547
127	953	6494
128	954	6444
129	955	6396
130	957	6349
131	958	6302
132	959	6255
133	961	6215
134	963	6173
135	964	6129
136	966	6085
137	967	6040
138	968	5997
139	969	5955
140	970	5914
141	972	5873
142	973	5832
143	974	5792
144	976	5755
145	977	5716
146	978	5678
147	979	5640
148	981	5603
149	982	5566
150	983	5530
151	984	5494
152	986	5459
153	987	5424
154	988	5389
155	990	5356
156	991	5324
157	992	5291
158	994	5258
159	995	5225
160	996	5193
161	997	5161
162	998	5129
163	1000	5098
164	1001	5068
165	1002	5037
166	1003	5007
167	1005	4979
168	1006	4950
169	1007	4920
170	1009	4892
171	1010	4863
172	1011	4836
173	1012	4808
174	1014	4781
175	1015	4754
176	1016	4727
177	1017	4700
178	1019	4675
179	1020	4650
180	1021	4621
181	1022	4596
182	1023	4570
183	1025	4545
184	1026	4521
185	1027	4497
186	1028	4472
187	1030	4448
188	1031	4424
189	1032	4401
190	1033	4378
191	1035	4356
192	1036	4333
193	1037	4311
194	1038	4288
195	1040	4266
196	1041	4244
197	1042	4222
198	1043	4201
199	1044	4179
200	1046	4158
201	1047	4138
202	1048	4118
203	1050	4097
204	1051	4077
205	1052	4057
206	1053	4037
207	1055	4017
208	1056	3997
209	1057	3978
210	1058	3959
211	1059	3939
212	1061	3921
213	1062	3903
214	1064	3886
215	1065	3868
216	1067	3850
217	1068	3833
218	1069	3815
219	1071	3798
220	1072	3781
221	1073	3763
222	1075	3746
223	1076	3729
224	1077	3712
225	1079	3696
226	1080	3679
