iter	Passed	Remaining
0	263	263469
1	269	134413
2	271	90201
3	273	68095
4	275	54811
5	279	46316
6	281	39946
7	283	35150
8	285	31429
9	287	28442
10	289	26012
11	293	24149
12	295	22416
13	297	20933
14	298	19633
15	300	18467
16	301	17434
17	302	16515
18	303	15693
19	306	15040
20	308	14367
21	309	13755
22	310	13196
23	311	12683
24	313	12213
25	314	11777
26	315	11374
27	316	10999
28	318	10651
29	320	10378
30	322	10074
31	323	9787
32	324	9519
33	326	9265
34	327	9028
35	328	8802
36	329	8588
37	331	8385
38	332	8192
39	335	8049
40	336	7881
41	338	7721
42	340	7569
43	341	7422
44	343	7283
45	344	7146
46	345	7014
47	348	6911
48	350	6794
49	351	6677
50	352	6565
51	354	6459
52	355	6355
53	357	6254
54	358	6157
55	359	6064
56	363	6013
57	365	5931
58	366	5849
59	368	5769
60	370	5701
61	372	5630
62	373	5555
63	374	5482
64	377	5430
65	379	5364
66	380	5296
67	381	5229
68	382	5164
69	383	5101
70	385	5046
71	386	4987
72	388	4930
73	389	4873
74	390	4817
75	393	4781
76	394	4729
77	395	4678
78	396	4627
79	398	4578
80	399	4533
81	400	4486
82	401	4435
83	402	4391
84	403	4348
85	405	4306
86	407	4276
87	408	4238
88	410	4198
89	411	4159
90	412	4121
91	413	4084
92	415	4049
93	416	4013
94	417	3979
95	418	3945
96	420	3911
97	422	3886
98	423	3855
99	424	3824
100	426	3794
101	428	3768
102	429	3743
103	431	3714
104	432	3685
105	433	3657
106	435	3634
107	437	3610
108	438	3585
109	440	3564
110	442	3544
111	444	3521
112	445	3496
113	446	3472
114	448	3448
115	450	3429
116	452	3413
117	454	3396
118	456	3376
119	457	3358
120	459	3336
121	460	3315
122	461	3293
123	465	3291
124	467	3275
125	469	3257
126	470	3235
127	471	3214
128	473	3195
129	474	3175
130	475	3156
131	477	3137
132	481	3139
133	483	3124
134	484	3107
135	486	3089
136	487	3071
137	488	3053
138	490	3035
139	491	3018
140	496	3025
141	497	3006
142	499	2992
143	500	2976
144	502	2960
145	503	2946
146	505	2930
147	506	2914
148	512	2929
149	514	2916
150	516	2906
151	518	2892
152	519	2878
153	521	2863
154	523	2856
155	526	2848
156	528	2835
157	529	2823
158	531	2809
159	532	2794
160	533	2778
161	534	2763
162	535	2749
163	536	2736
164	541	2740
165	542	2727
166	544	2713
167	545	2700
168	546	2687
169	547	2674
170	548	2661
171	550	2648
172	551	2637
173	557	2644
174	558	2631
175	559	2619
176	560	2606
177	561	2594
178	563	2582
179	564	2570
180	565	2559
181	566	2547
182	571	2552
183	573	2541
184	574	2530
185	575	2518
186	576	2507
187	577	2496
188	579	2485
189	580	2474
190	581	2463
191	586	2466
192	587	2456
193	588	2445
194	590	2435
195	591	2425
196	592	2415
197	593	2404
198	595	2395
199	596	2384
200	601	2389
201	602	2380
202	603	2370
203	604	2360
204	606	2350
205	607	2340
206	608	2331
207	609	2322
208	611	2312
209	612	2303
210	616	2303
211	617	2294
212	618	2286
213	620	2277
214	621	2268
215	622	2260
216	624	2251
217	625	2242
218	626	2233
219	630	2236
220	631	2227
221	633	2218
222	634	2210
223	635	2201
224	636	2193
225	638	2185
226	639	2177
227	640	2169
228	642	2163
229	645	2162
230	647	2154
231	648	2146
232	649	2138
233	650	2130
234	652	2123
235	653	2115
236	654	2108
237	656	2100
238	660	2101
239	661	2095
240	662	2087
241	664	2080
242	665	2073
243	666	2066
244	668	2058
245	669	2051
246	670	2044
247	674	2046
248	676	2039
249	677	2032
250	678	2024
251	679	2017
252	681	2012
253	682	2005
254	684	1998
255	685	1991
256	688	1991
257	690	1986
258	691	1979
259	693	1972
260	694	1966
261	695	1960
262	697	1953
263	698	1946
264	699	1940
265	701	1937
266	704	1933
267	705	1927
268	706	1920
269	708	1915
270	709	1908
271	711	1903
272	712	1897
273	713	1890
274	714	1884
275	718	1885
276	720	1879
277	721	1873
278	722	1868
279	724	1863
280	726	1858
281	727	1852
